Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1/3/20,CN,China,WPRO,0,0,0,0
1/4/20,CN,China,WPRO,1,1,0,0
1/5/20,CN,China,WPRO,0,1,0,0
1/6/20,CN,China,WPRO,3,4,0,0
1/7/20,CN,China,WPRO,0,4,0,0
1/8/20,CN,China,WPRO,0,4,0,0
1/9/20,CN,China,WPRO,0,4,0,0
1/10/20,CN,China,WPRO,0,4,0,0
1/11/20,CN,China,WPRO,0,4,0,0
1/12/20,CN,China,WPRO,41,45,1,1
1/13/20,CN,China,WPRO,0,45,0,1
1/14/20,CN,China,WPRO,0,45,0,1
1/15/20,CN,China,WPRO,0,45,0,1
1/16/20,CN,China,WPRO,0,45,0,1
1/17/20,CN,China,WPRO,4,49,1,2
1/18/20,CN,China,WPRO,0,49,0,2
1/19/20,CN,China,WPRO,76,125,1,3
1/20/20,CN,China,WPRO,77,202,1,4
1/21/20,CN,China,WPRO,93,295,2,6
1/22/20,CN,China,WPRO,147,442,11,17
1/23/20,CN,China,WPRO,132,574,1,18
1/24/20,CN,China,WPRO,261,835,8,26
1/25/20,CN,China,WPRO,462,1297,16,42
1/26/20,CN,China,WPRO,688,1985,14,56
1/27/20,CN,China,WPRO,776,2761,26,82
1/28/20,CN,China,WPRO,1772,4533,49,131
1/29/20,CN,China,WPRO,1464,5997,2,133
1/30/20,CN,China,WPRO,1739,7736,38,171
1/31/20,CN,China,WPRO,1984,9720,42,213
2/1/20,CN,China,WPRO,2101,11821,46,259
2/2/20,CN,China,WPRO,2590,14411,102,361
2/3/20,CN,China,WPRO,2827,17238,64,425
2/4/20,CN,China,WPRO,3233,20471,66,491
2/5/20,CN,China,WPRO,3892,24363,72,563
2/6/20,CN,China,WPRO,3697,28060,70,633
2/7/20,CN,China,WPRO,3151,31211,85,718
2/8/20,CN,China,WPRO,3387,34598,87,805
2/9/20,CN,China,WPRO,2653,37251,100,905
2/10/20,CN,China,WPRO,2984,40235,107,1012
2/11/20,CN,China,WPRO,2473,42708,100,1112
2/12/20,CN,China,WPRO,2022,44730,5,1117
2/13/20,CN,China,WPRO,15152,59882,252,1369
